# Configuracion:
# Concentracion g/m^3_=_8100.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_135179.35260313182
# 
Resultados:
# tau_s_=_(8.20+/-0.13)e-08
# dphi_rad_=_6.35+/-0.00
# SAR_W/g_=_84.06+/-1.78
# Hc_kA/m_=_3.43+/-0.04
# Mr_A/m_=_46.94+/-0.92
# Suceptibilidad_a_M=0_=_0.0139+/-0.0002

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_100dA_100Mss_Ni0sRC004.txt	23/05/2024 17:04:54	18.1	44.98	3.43	38460.00	455.03	1.351656e+05	3.416057e+00	6.352989e+00	81.45	8.232149e-08	4439	1.332e-02
135kHz_100dA_100Mss_Ni0sRC005.txt	23/05/2024 17:04:55	18.1	45.77	3.50	38460.00	449.88	1.351960e+05	3.458328e+00	6.353027e+00	82.52	8.236713e-08	4438	1.355e-02
135kHz_100dA_100Mss_Ni0sRC006.txt	23/05/2024 17:04:57	18.1	45.14	3.35	38460.00	464.87	1.351656e+05	3.505942e+00	6.350752e+00	80.92	7.967375e-08	4439	1.379e-02
135kHz_100dA_100Mss_Ni0sRC007.txt	23/05/2024 17:04:58	18.1	45.96	3.41	38460.00	452.00	1.351656e+05	3.506476e+00	6.351698e+00	82.06	8.079436e-08	4439	1.379e-02
135kHz_100dA_100Mss_Ni0sRC008.txt	23/05/2024 17:04:59	18.1	47.13	3.46	38460.00	452.32	1.351656e+05	3.521661e+00	6.353369e+00	84.42	8.276928e-08	4439	1.409e-02
135kHz_100dA_100Mss_Ni0sRC009.txt	23/05/2024 17:05:00	18.1	46.69	3.39	38460.00	472.34	1.351656e+05	3.556490e+00	6.352537e+00	84.25	8.178576e-08	4439	1.391e-02
135kHz_100dA_100Mss_Ni0sRC010.txt	23/05/2024 17:05:01	18.2	46.94	3.41	38460.00	459.90	1.351656e+05	3.551661e+00	6.352544e+00	84.14	8.179485e-08	4439	1.387e-02
135kHz_100dA_100Mss_Ni0sRC011.txt	23/05/2024 17:05:02	18.2	45.88	3.39	38460.00	460.96	1.351656e+05	3.504035e+00	6.351906e+00	82.25	8.103950e-08	4439	1.370e-02
135kHz_100dA_100Mss_Ni0sRC012.txt	23/05/2024 17:05:03	18.2	46.69	3.45	38460.00	453.16	1.351656e+05	3.499784e+00	6.353200e+00	83.70	8.256884e-08	4439	1.374e-02
135kHz_100dA_100Mss_Ni0sRC013.txt	23/05/2024 17:05:04	18.2	47.23	3.46	38460.00	466.25	1.351656e+05	3.523092e+00	6.353570e+00	84.70	8.300933e-08	4439	1.399e-02
135kHz_100dA_100Mss_Ni0sRC014.txt	23/05/2024 17:05:05	18.2	46.20	3.39	38460.00	464.94	1.351656e+05	3.536774e+00	6.351054e+00	81.99	8.003148e-08	4439	1.371e-02
135kHz_100dA_100Mss_Ni0sRC015.txt	23/05/2024 17:05:06	18.2	46.84	3.43	38460.00	454.91	1.351656e+05	3.528812e+00	6.352434e+00	83.47	8.166287e-08	4439	1.388e-02
135kHz_100dA_100Mss_Ni0sRC016.txt	23/05/2024 17:05:07	18.2	46.56	3.39	38460.00	462.81	1.351656e+05	3.557150e+00	6.351549e+00	83.07	8.061664e-08	4439	1.395e-02
135kHz_100dA_100Mss_Ni0sRC017.txt	23/05/2024 17:05:08	18.3	46.29	3.37	38460.00	462.69	1.351656e+05	3.554024e+00	6.350681e+00	81.94	7.958932e-08	4439	1.407e-02
135kHz_100dA_100Mss_Ni0sRC018.txt	23/05/2024 17:05:09	18.2	46.69	3.42	38460.00	461.09	1.351656e+05	3.539975e+00	6.352150e+00	83.39	8.132953e-08	4439	1.374e-02
135kHz_100dA_100Mss_Ni0sRC019.txt	23/05/2024 17:05:11	18.2	48.24	3.51	38460.00	468.79	1.351656e+05	3.551838e+00	6.355235e+00	87.41	8.497857e-08	4439	1.400e-02
135kHz_100dA_100Mss_Ni0sRC020.txt	23/05/2024 17:05:12	18.3	48.33	3.50	38460.00	467.65	1.351656e+05	3.567926e+00	6.354842e+00	87.32	8.451355e-08	4439	1.398e-02
135kHz_100dA_100Mss_Ni0sRC021.txt	23/05/2024 17:05:13	18.3	47.94	3.48	38460.00	461.70	1.351656e+05	3.548391e+00	6.353991e+00	85.82	8.350745e-08	4439	1.402e-02
135kHz_100dA_100Mss_Ni0sRC022.txt	23/05/2024 17:05:15	18.3	47.84	3.47	38460.00	468.38	1.351656e+05	3.555399e+00	6.353183e+00	85.01	8.254968e-08	4439	1.395e-02
